File,Status
stackdemos__kcdemo__component.py,❌ TypeError: Unexpected type annotation '<ast.Subscript object at 0x7f5f16f93be0>' for <function download_artifact at 0x7f5f16f81510>.
kubeflow__pipelines__after.py,"❌ TypeError: Components must be instantiated using keyword arguments. Positional parameters are not allowed (found 1 such parameters for component ""task1"")."
xxxtrillionarie__KubeFlow_MLOps_Pipelines__lightweight_python_functions_v2_with_outputs_test.py,❌ TypeError: cannot unpack non-iterable PipelineTask object
xxxtrillionarie__KubeFlow_MLOps_Pipelines__fail_v2.py,❌ ValueError: No pipeline function found.
kubeflow__pipelines__hello_world.py,❌ TypeError: Missing type annotation for argument: text
jhammarstedt__MLOps-Kubeflow_in_GCP__main.py,❌ TypeError: 'type' object is not subscriptable
stackdemos__secrets-tetst-01__component.py,❌ TypeError: component() got an unexpected keyword argument 'name'
9rince__kfp__fail.py,❌ ValueError: No pipeline function found.
ajinkya933__Kubeflow__mnist_complete_train.py,❌ NameError: name 'retries' is not defined
9rince__kfp__metrics_visualization_v2.py,❌ TypeError: component() got an unexpected keyword argument 'name'
ArianFotouhi__kubeflowPipelineSpamDetector__script.py,❌ TypeError: Missing type annotation for argument: zip_file_path
xxxtrillionarie__KubeFlow_MLOps_Pipelines__after_test.py,❌ AttributeError: module 'kfp.dsl' has no attribute 'task'
ZoieD__kfp-resnet__pipeline.py,❌ TypeError: 'TypeVar' object is not callable
s102401002__kubeflowPipeline0722__kubeflow_NAS.py,❌ TypeError: Missing type annotation for argument: nas_mount_path
mengdong__kubeflow-pipeline-nvidia-example__JoC_end2end_serve.py,❌ ModuleNotFoundError: No module named 'tensorflow'
FernandoLpz__Kubeflow_Pipelines__pipeline.py,❌ TypeError: component() got an unexpected keyword argument 'name'
Ark-kun__pipeline_components__continue_training_from_prod.py,❌ AttributeError: 'function' object has no attribute 'Component'
muhammadyaseen__kubeflow-on-linode__train_eval_pipeline.py,❌ AttributeError: 'TypeVar' object has no attribute 'Dataset'
riiid__krsh__pipeline.py,❌ ValueError: Task is missing from pipeline.
s102401002__kubeflowPipeline0722__kubeflowPipeline_xgboost.py,❌ KeyError: 'predict_model'
redhat-ai-services__kubeflow-pipelines-examples__07_container_components_pipeline.py,❌ TypeError: Missing type annotation for argument: a
9rince__kfp__legacy_data_passing.py,❌ ValueError: No pipeline function found.
tonouchi510__kfp-project__head-pose-pipeline.py,"❌ TypeError: Components must be instantiated using keyword arguments. Positional parameters are not allowed (found 9 such parameters for component ""training"")."
stackdemos__kfp11__component.py,❌ AttributeError: type object 'Model' has no attribute 'from_pretrained'
muhammadyaseen__kubeflow-on-linode__md_pipeline.py,❌ TypeError: 'TypeVar' object is not callable
redhat-ai-services__kubeflow-pipelines-examples__03_outputs_pipeline.py,❌ TypeError: 'TypeVar' object is not callable
pharmbio__kubeflow-pipelines__pipeline.py,❌ TypeError: Missing type annotation for argument: model_type
s102401002__kubeflowPipeline__kubeflowPipeline_xgboost.py,❌ NameError: name 'dsl' is not defined
s102401002__kubeflowPipeline0722__kubeflowPipeline0722.py,❌ TypeError: 'TypeVar' object is not callable
9rince__kfp__after.py,❌ NameError: name 'dsl' is not defined
kubeflow__pipelines__fail_v2.py,❌ NameError: name 'dsl' is not defined
9rince__kfp__placeholder_concat.py,"❌ TypeError: Components must be instantiated using keyword arguments. Positional parameters are not allowed (found 2 such parameters for component ""placeholder-concat"")."
ferneutron__mlops__data.py,❌ TypeError: Missing type annotation for argument: project_id
kubeflow__pipelines__two_step_with_uri_placeholder.py,❌ NameError: name 'dsl' is not defined
9rince__kfp__legacy_exit_handler.py,❌ KeyError: 'output_file'
s102401002__kubeflowPipeline0722__compose.py,❌ KeyError: 'output_dataset'
ferneutron__mlops__iris_pipeline.py,❌ TypeError: Missing type annotation for argument: project_id
redhat-ai-services__kubeflow-pipelines-examples__04_artifact_pipeline.py,❌ TypeError: component() got an unexpected keyword argument 'name'
sbakiu__kubeflow-spark__kubeflow_pipeline.py,❌ TypeError: Missing type annotation for argument: spark_job_definition
stackdemos__kf-flatcar2__component.py,❌ TypeError: Unexpected type annotation '<ast.Subscript object at 0x7f5f16fa2860>' for <function download_artifact at 0x7f5f16f81120>.
butuzov__kubeflow-pipline-pytorch-tacatron__pipeline.py,"❌ TypeError: Components must be instantiated using keyword arguments. Positional parameters are not allowed (found 2 such parameters for component ""dataset-download"")."
StatCan__aaw-kubeflow-mlops__cnn.py,❌ NameError: name 'dsl' is not defined
redhat-ai-services__kubeflow-pipelines-examples__02_submitted_pipeline_via_service.py,❌ TypeError: component() got an unexpected keyword argument 'name'
canonical__kfp-operators__pipeline_container_no_input.py,❌ TypeError: component() got an unexpected keyword argument 'name'
9rince__kfp__lightweight_python_functions_v2_pipeline_test.py,❌ TypeError: Missing type annotation for argument: message
xxxtrillionarie__KubeFlow_MLOps_Pipelines__metrics_visualization_v2_test.py,❌ TypeError: 'TypeVar' object is not callable
pavan-kumar-99__ml-ops__TestTrainSplit.py,❌ KeyError: 'output_dir'
getindata__kedro-kubeflow__test_pod_per_node_pipeline_generator.py,❌ NameError: name 'dsl' is not defined
redhat-ai-services__kubeflow-pipelines-examples__12_gpu_task_pipeline.py,❌ TypeError: 'TypeVar' object is not callable
shawar8__sfcrime-prediction-kubeflow__data_ingest_fns.py,❌ NameError: name 'List' is not defined
nnkkmto__sample-vertex-pipelines__pipeline.py,❌ TypeError: component() got an unexpected keyword argument 'name'
kubeflow__pipelines__component_with_optional_inputs.py,❌ NameError: name 'component_with_optional_inputs' is not defined
9rince__kfp__lightweight_python_functions_v2_with_outputs_test.py,❌ TypeError: component() got an unexpected keyword argument 'name'
s102401002__kubeflowPipeline__kubeflowPipeline_parquet.py,❌ NameError: name 'InputType' is not defined
DanielAvdar__protocol-task__executors.py,❌ AttributeError: module 'kfp' has no attribute 'Pipeline'
stackdemos__jj-test2__component.py,"❌ TypeError: Components must be instantiated using keyword arguments. Positional parameters are not allowed (found 2 such parameters for component ""download-artifact"")."
9rince__kfp__metrics_visualization_v2_test.py,❌ TypeError: 'TypeVar' object is not callable
9rince__kfp__cache_v2_test.py,❌ NameError: name 'dsl' is not defined
redhat-ai-services__kubeflow-pipelines-examples__05_metrics_pipeline.py,❌ KeyError: 'output_accuracy_score'
omkarakaya__kubeflow-recommender__pipeline.py,❌ AttributeError: module 'kfp.dsl' has no attribute 'VolumeOp'
stackdemos__yolo4__component.py,"❌ TypeError: download-artifact() got an unexpected keyword argument ""output_path""."
getindata__kedro-kubeflow__one_pod_pipeline_generator.py,❌ TypeError: Missing type annotation for argument: kedro_pipeline_name
anifort__kubeflow-pipelines-mlops__pipeline.py,❌ TypeError: component() got an unexpected keyword argument 'name'
anupr567__kubeflow_pipeline__kfp_pipeline.py,❌ TypeError: Missing type annotation for argument: extracted_data
e2fyi__kfx____init__.py,❌ TypeError: component() got an unexpected keyword argument 'name'
xxxtrillionarie__KubeFlow_MLOps_Pipelines__legacy_exit_handler.py,❌ TypeError: Unexpected type annotation '<ast.Subscript object at 0x7f5f16f90220>' for <function legacy_exit_handler at 0x7f5f16f831c0>.
shashnavad__wine-quality-mlops__test_pipeline.py,❌ TypeError: Unexpected type annotation '<ast.Subscript object at 0x7f5f16f913c0>' for <function validate_data at 0x7f5f16f831c0>.
speg03__kfp-toolbox__pipelines.py,❌ KeyError: 'output_timestamp'
pragadeeshraju__kubeflow-sample-pipeline__pipeline.py,❌ TypeError: Missing type annotation for argument: input_dataset
xxxtrillionarie__KubeFlow_MLOps_Pipelines__metrics_visualization_v1_test.py,❌ AttributeError: type object 'Dataset' has no attribute 'from_gcs'
9rince__kfp__metrics_visualization_v1_test.py,❌ NameError: name 'dsl' is not defined
deployKF__kubeflow-pipelines-gitops__pipeline.py,❌ AttributeError: module 'kfp' has no attribute 'get_current_time'
stackdemos__kfp125__component.py,❌ NameError: name 'download_artifact' is not defined
